Parent,Reference,SiO2 ,Al2O3 ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,MnO ,FeO *,K2O+Na2O,Cr2O3 
10044,104,42.01,11.67,6.25,12.18,0.48,0.11,8.81,0.08,0.24,17.98,0.59,0.248
10057,107,41.4,7.85,7.4,10.4,0.54,0.33,10.59,,0.23,19.1,0.87,0.35
10059,107,42.4,12.55,8.1,11.5,0.51,0.19,8.3,,0.22,16.4,0.7,0.32
10044,68,42.89,10.49,5.98,12.4,0.38,0.11,8.47,0.12,0.28,18.46,0.49,0.18
10047,68,41.6,10.27,5.99,12.16,0.44,0.1,10.02,0.11,0.3,19.09,0.54,0.22
10058,68,42.18,10.45,5.91,12.28,0.39,0.11,9.37,0.13,0.3,18.96,0.5,0.2
10050,68,39.25,9.64,7.86,11.28,0.36,0.08,11.79,0.08,0.3,19.29,0.44,0.35
10050,68,40.62,10.87,7.82,12.65,0.35,0.06,9.61,0.07,0.26,16.51,0.41,0.36
10003,68,39.53,10.44,7.1,10.8,0.39,0.06,10.67,0.14,0.29,20.51,0.45,0.23
10029,68,38.59,10.24,6.45,10.3,0.42,0.08,11.1,0.21,0.3,21.71,0.5,0.23
10062,68,40.21,10.82,7.01,11.57,0.43,0.08,10.34,0.14,0.28,19.08,0.51,0.26
10020,68,40.8,10.31,7,11.99,0.38,0.07,10.35,0.12,0.27,18.79,0.45,0.3
10092,68,38.85,9.44,8.52,10.99,0.34,0.06,10.87,0.07,0.3,19.35,0.4,0.43
10071,68,40.51,7.91,8.51,10.48,0.53,0.3,11.87,0.22,0.25,19.65,0.83,0.35
10057,112,40.22,7.56,6.97,11.75,0.404,0.242,10.84,,0.232,18.01,0.646518534,0.316
10017,112,41.94,8.31,7.96,11.47,0.468,0.248,11.68,,0.191,18.78,0.716,0.338
10044,112,43.01,11.9,6.47,7.14,0.483,0.104,10.51,,0.258,17.11,0.58617181,0.19
10018,112,41.94,11.53,8.29,11.61,0.528,0.159,9.18,,0.136,17.75,0.687414806,0.278
10060,112,42.36,11.72,7.63,11.61,0.485,0.16,7.67,,0.173,17.75,0.645484134,0.266
10017,114,42.79,7.94,7.96,,0.493,0.172,,,0.236,21.87,0.665618034,0.358
10017,114,44.5,7.56,7.63,10.63,0.503,0.265,13.01,,0.248,23.29,0.767808351,0.396
10044,114,41.99,8.69,6.8,11.75,0.368,0.11,9.84,,0.305,20.46,0.477616751,0.229
10044,114,41.51,11.34,5.8,12.45,0.493,0.128,9.51,,0.266,18.53,0.621047701,0.174
10045,114,42.58,10.01,8.46,11.61,0.349,0.055,11.51,,0.25,20.58,0.404537907,0.399
10045,114,44.08,10.2,9.78,11.61,0.348,0.069,12.01,,0.27,21.23,0.416440569,0.468
10047,114,44.5,7.37,6.8,13.57,0.349,0.082,10.84,,0.353,21.87,0.431039185,0.265
10047,114,46,11.15,4.81,12.59,0.489,0.06,9.51,,0.291,19.81,0.549545969,0.202
